Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Summary;;;;;;;;;;;;;;;;;;;;;;;;
"H3KUEI3L,journalArticle,2024.0,""Yi, Peng"; Liang, Lei; Zhang, Da; Chen, Yong; Zhu, Jinye; Liu, Xiangyu; Tang, Kun; Chen, Jialin; Lin, Hao; Qiu, Leijie;" Zhou, Jun"",KGFabric: A Scalable Knowledge Graph Warehouse for Enterprise Data Interconnection,Proceedings of the VLDB Endowment,,2150-8097,10.14778/3685800.3685810,https://dl.acm.org/doi/10.14778/3685800.3685810,""Based on the diversified application scenarios at Ant Group, we built the Ant Knowledge Graph Platform (AKGP). It has constructed numerous domain-specific knowledge graphs related to merchants, companies, accounts, products, and more. AKGP manages trillions of structured knowledge graphs, serving search, recommendation, risk control and other businesses. However, as the demand increasing for various workloads such as graph pattern matching, graph representation learning, and cross-domain knowledge reuse, the existing warehouse systems based on relational DBMS or graph databases are unable to meet the requirements. To address these issues, we propose KGFabric, an industrial-scale knowledge graph management system built on the distributed file system (DFS). KGFabric offers a nearline knowledge storage engine that utilizes a Semantic-enhanced Programmable Graph (SPG) model, which is compatible with the Labeled Property Graph (LPG) model. The data is persistently stored in DFS, such as HDFS, which leverages the POSIX file system API, making it suitable for deployment in multi-cloud environment at low cost. KGFabric provides a native graph-based and hybrid storage format that can serve as a shared backend for parallel graph computing systems, significantly accelerating the analysis of multi-workload. Additionally, KGFabric includes a graph fabric framework that minimizes data duplication and guarantees data security.             KGFabric is able to manage Peta-scale data and has supported graph fabric and analysis with over 100 billion relations at Ant Group. We conduct experiments on various datasets to evaluate the performance of KGFabric. Compared with popular relational DBMS and graph databases, the storage space for semantic relations is reduced by over 90%. The performance of graph fabric improves by 21× in real-world workloads. In multi-hop semantic graph analysis, KGFabric enhances performance by 100×."",2024-08,2024-11-26 18:03:34,2024-11-26 18:03:34,2024-11-26 18:03:34,3841-3854,,12.0,17.0,,Proc. VLDB Endow.,KGFabric,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;
"XPSKAUST,journalArticle,2024.0,,(PDF) A systematic literature review of data governance and cloud data governance,ResearchGate,,,10.1007/s00779-017-1104-3,https://www.researchgate.net/publication/322259947_A_systematic_literature_review_of_data_governance_and_cloud_data_governance,""PDF | Data management solutions on their own are becoming very expensive and not able to cope with the reality of everlasting data complexity.... | Find, read and cite all the research you need on ResearchGate"",2024-12-09,2025-03-10 18:29:11,2025-03-10 18:29:11,2025-03-10 18:29:11,,,,,,,,,,,,,,en,,,,,www.researchgate.net,,,,C:\Users\kasutaja\Zotero\storage\WM54T6MQ\322259947_A_systematic_literature_review_of_data_governance_and_cloud_data_governance.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;;;;;;;;;;;
"CYCZ8GC4,preprint,2024.0,""Sen, Partha";" Sen, Sumana"",Graph database while computationally efficient filters out quickly the ESG integrated equities in investment management,,,,10.48550/arXiv.2401.07483,http://arxiv.org/abs/2401.07483,""Design/methodology/approach This research evaluated the databases of SQL, No-SQL and graph databases to compare and contrast efficiency and performance. To perform this experiment the data were collected from multiple sources including stock price and financial news. Python is used as an interface to connect and query databases (to create database structures according to the feed file structure, to load data into tables, objects, to read data , to connect PostgreSQL, ElasticSearch, Neo4j. Purpose Modern applications of LLM (Large language model) including RAG (Retrieval Augmented Generation) with Machine Learning, deep learning, NLP (natural language processing) or Decision Analytics are computationally expensive. Finding a better option to consume less resources and time to get the result. Findings The Graph database of ESG (Environmental, Social and Governance) is comparatively better and can be considered for extended analytics to integrate ESG in business and investment. Practical implications A graph ML with a RAG architecture model can be introduced as a new framework with less computationally expensive LLM application in the equity filtering process for portfolio management. Originality/value Filtering out selective stocks out of two thousand or more listed companies in any stock exchange for active investment, consuming less resource consumption especially memory and energy to integrate artificial intelligence and ESG in business and investment."",2024-01-15,2025-03-10 18:30:50,2025-03-10 18:30:50,2025-03-10 18:30:50,,,,,,,,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2401.07483 [q-fin],,C:\Users\kasutaja\Zotero\storage\3FA284QM\Sen and Sen - 2024 - Graph database while computationally efficient fil.pdf"; C:\Users\kasutaja\Zotero\storage\UAT5VQGA\2401.html,,,Quantitative Finance - Computational Finance,,,,,,,,,,,,,,,,,,,arXiv:2401.07483,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;;;;;;;;;
"ES6CS36H,journalArticle,2024.0,,(PDF) Can generative AI transform data quality? a critical discussion of ChatGPT's capabilities,ResearchGate,,,10.20935/AcadEng7407,https://www.researchgate.net/publication/386245175_Can_generative_AI_transform_data_quality_a_critical_discussion_of_ChatGPT's_capabilities,""PDF | Data quality (DQ) is a fundamental element for the reliability and utility of data across various domains. The emergence of generative AI... | Find, read and cite all the research you need on ResearchGate"",2024-11-30,2025-03-10 18:31:29,2025-03-10 18:31:29,2025-03-10 18:31:29,,,,,,,(PDF) Can generative AI transform data quality?,,,,,,,en,,,,,www.researchgate.net,,,,C:\Users\kasutaja\Zotero\storage\XIQYC59J\386245175_Can_generative_AI_transform_data_quality_a_critical_discussion_of_ChatGPT's_capabilit.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;;;;;;;;;;;
"RUTQQM7V,journalArticle,2025.0,Jaiganesh Ramu,Implementing data governance in a cloud Datawarehouse,World Journal of Advanced Research and Reviews,,25819615,10.30574/wjarr.2025.25.2.0585,https://journalwjarr.com/node/775,""As organizations migrate to cloud-based data warehouses, ensuring data governance becomes essential for maintaining data quality, security, compliance, and accessibility. This article explores the key principles of data governance in a cloud environment, outlining strategies for data classification, access control, compliance adherence, and lifecycle management. Additionally, it discusses best practices and challenges associated with implementing a robust data governance framework, enabling organizations to derive maximum value from their cloud data warehouses while mitigating risks."",2025-02-28,2025-03-10 18:34:59,2025-03-10 18:34:59,2025-03-10 18:34:59,2543-2551,,2.0,25.0,,World J. Adv. Res. Rev.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\kasutaja\Zotero\storage\6FIQHEZ4\Jaiganesh Ramu - 2025 - Implementing data governance in a cloud Datawareho.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;;;;;;;;;;;
"M3W9SYYB,journalArticle,2024.0,,(PDF) The Role of AI in Crafting a Modern Data Governance,ResearchGate,,,10.56726/IRJMETS47962,https://www.researchgate.net/publication/377181716_THE_ROLE_OF_AI_IN_CRAFTING_A_MODERN_DATA_GOVERNANCE,""PDF | Data governance is a critical component for every organization, particularly in environments with numerous users both within and outside the... | Find, read and cite all the research you need on ResearchGate"",2024-10-22,2025-03-10 18:36:00,2025-03-10 18:36:00,2025-03-10 18:36:00,,,,,,,,,,,,,,en,,,,,www.researchgate.net,,,,C:\Users\kasutaja\Zotero\storage\BR423BJ8\2024 - (PDF) The Role of AI in Crafting a Modern Data Gov.pdf"; C:\Users\kasutaja\Zotero\storage\9IXGNBET\377181716_THE_ROLE_OF_AI_IN_CRAFTING_A_MODERN_DATA_GOVERNANCE.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;;;;;;;;;;
"AB6MMEAE,webpage,,,(PDF) Design Science in Information Systems Research,ResearchGate,,,,https://www.researchgate.net/publication/201168946_Design_Science_in_Information_Systems_Research,""PDF | Two paradigms characterize much of the research in the Information Systems discipline: behavioral science and design science. The... | Find, read and cite all the research you need on ResearchGate"",,2025-03-10 19:04:56,2025-03-10 19:04:56,2025-03-10 19:04:56,,,,,,,,,,,,,,en,,,,,,,,,C:\Users\kasutaja\Zotero\storage\A6EPRFV6\201168946_Design_Science_in_Information_Systems_Research.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;;;;;;;;;;;
"QSP42HXX,webpage,2025.0,,Unlocking Insights for Data Transformation Tools Growth Strategies,,,,,https://www.datainsightsmarket.com/reports/data-transformation-tools-1452290,""The data transformation tools market is expected to witness significant growth, reaching a market size of XX million by 2033, exhibiting a CAGR of XX% during the forecast period. The increasing volume and complexity of data, coupled with the need to derive meaningful insights, are driving the adoption of data transformation tools. The rise of cloud computing and the shift towards cloud-based data transformation services are further contributing to market growth. The market is segmented based on application, type, and region. Large enterprises are expected to hold a dominant share in the application segment due to their extensive data processing requirements. Cloud-based data transformation tools are gaining popularity as they offer scalability, flexibility, and cost-effective deployment options. North America is anticipated to account for a significant share of the market, owing to the presence of key vendors and early adoption of advanced technologies. The Asia Pacific region is expected to exhibit the highest growth rate due to the increasing adoption of data transformation tools across various industries."",2025-02-12,2025-03-10 22:05:28,2025-03-10 22:05:28,2025-03-10 22:05:28,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;;;;;;;;;;;
"VWB2PK8N,conferencePaper,2023.0,""Hasan, M. Redwan";" Legner, Christine"",Data Product Canvas: A Visual Inquiry Tool Supporting Data Product Design,Design Science Research for a New Society: Society 5.0,978-3-031-32808-4,,10.1007/978-3-031-32808-4_12,,""Data products (DP) are considered a key enabler of data-driven innovation. However, suitable methodologies and tools supporting DP design are still scarce. The emerging body of practitioner literature mostly focuses on analytics-based products and their technical design and architecture but lacks a more comprehensive product perspective on data. To address this gap, we propose the Data Product Canvas (DPC) as a visual inquiry tool that supports cross-functional teams in understanding, designing, and analyzing DPs. The DPC was developed in an iterative design science process involving focus groups with 15 global companies and was demonstrated for selected DPs. Building on the core ideas of the Business Model Canvas, the DPC outlines the critical elements for designing DPs focusing on three key themes: desirability from the customer perspective, feasibility from the technical perspective, and viability from an economic perspective. The DPC instantiates the design principles for visual inquiry tools and comprises a conceptual model, shared visualization, and directions for use. The DPC is the first step toward a systematic approach and shared language in designing DPs in ways that technical experts and business users understand."",2023,2025-03-11 11:39:20,2025-03-11 11:39:20,,191-205,,,,,,Data Product Canvas,,,,,Springer Nature Switzerland,Cham,en,,,,,Springer Link,,,,C:\Users\kasutaja\Zotero\storage\VSSQY2CJ\Hasan and Legner - 2023 - Data Product Canvas A Visual Inquiry Tool Support.pdf,,,Data Product Canvas"; Data Product Design;" Visual Inquiry Tools,""Gerber, Aurona";" Baskerville, Richard"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;;;;;;;
"9JW5599P,journalArticle,2020.0,""Elhassouni, Jalil"; El Qadi, Abderrahim; El Alami, Yasser El Madani;" El Haziti, Mohamed"",The Implementation of Credit Risk Scorecard Using Ontology Design Patterns and BCBS 239,Cybernetics and Information Technologies,,1314-4081,10.2478/cait-2020-0019,https://www.sciendo.com/article/10.2478/cait-2020-0019,""Abstract             Nowadays information and communication technologies are playing a decisive role in helping the financial institutions to deal with the management of credit risk. There have been significant advances in scorecard model for credit risk management. Practitioners and policy makers have invested in implementing and exploring a variety of new models individually. Coordinating and sharing information groups, however, achieved less progress. One of several causes of the 2008 financial crisis was in data architecture and information technology infrastructure. To remedy this problem the Basel Committee on Banking Supervision (BCBS) outlined a set of principles called BCBS 239. Using Ontology Design Patterns (ODPs) and BCBS 239, credit risk scorecard and applicant ontologies are proposed to improve the decision making process in credit loan. Both ontologies were validated, distributed in Ontology Web Language (OWL) files and checked in the test cases using SPARQL. Thus, making their (re)usability and expandability easier in financial institutions. These ontologies will also make sharing data more effective and less costly."",2020-06-01,2025-03-11 13:37:36,2025-03-11 13:37:36,2025-03-11 13:37:35,93-104,,2.0,20.0,,,,,,,,,,en,http://creativecommons.org/licenses/by-nc-nd/4.0,,,,DOI.org (Crossref),,,,C:\Users\kasutaja\Zotero\storage\KDHIHWV8\Elhassouni et al. - 2020 - The Implementation of Credit Risk Scorecard Using .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;;;;;;;;
BPV9KY6A,journalArticle,2024.0,Comfort Idongesit Michael; Oluwaseun Johnson Ipede; Adejoke Deborah Adejumo; Ibrahim Oyeyemi Adenekan; Damilola Adebayo; Adefisayo Simon Ojo;" Praise Ayomide Ayodele,Data-driven decision making in IT: Leveraging AI and data science for business intelligence,World Journal of Advanced Research and Reviews,,25819615,10.30574/wjarr.2024.23.1.2010,https://wjarr.com/node/13362,""Data-driven decision-making (DDDM) has become a cornerstone in modern IT and business landscapes, leveraging the immense potential of artificial intelligence (AI) and data science to transform raw data into actionable insights. This review paper explores the intersection of these domains, highlighting methodologies, applications, benefits, and challenges associated with integrating AI and data science into business intelligence (BI). Through an extensive review of current literature, this paper elucidates how organizations can harness these technologies to drive strategic decisions, optimize operations, and maintain a competitive edge."",2024-07-30,2025-03-11 22:30:53,2025-03-11 22:30:53,2025-03-11 22:30:53,472-480,,1.0,23.0,,World J. Adv. Res. Rev.,Data-driven decision making in IT,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\kasutaja\Zotero\storage\GBJP5Z6X\Comfort Idongesit Michael et al. - 2024 - Data-driven decision making in IT Leveraging AI a.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;;;;;
"UZYI3ICM,conferencePaper,2024.0,""Yandrapalli, Vinay"",AI-Powered Data Governance: A Cutting-Edge Method for Ensuring Data Quality for Machine Learning Applications,2024 Second International Conference on Emerging Trends in Information Technology and Engineering (ICETITE),,,10.1109/ic-ETITE58242.2024.10493601,https://ieeexplore.ieee.org/document/10493601,""In the past few decades, the banking sector has increasingly recognized the significance of an automated system for managing significant data quality, leading to a growing focus on data quality evaluation. Data governance for the computerized system is necessary to ensure the performance of the machine learning (ML) models. Data cleansing is a fundamental component of evaluating data governance, which focuses on quality and is an essential step before creating data analytics services. This paper introduces an automated framework for ensuring data quality using statistical and ML methods in banking, highlighting its objectives, functionality, and methodological advancements. The novel proposed approach focuses on proving the necessity of data quality assessment before training the ML models. In the evaluation of data quality, the outliers are detected using three different approaches: the first approach used is Tukey's IQR, the statistical method, the second is Isolation Forest (IF), the supervised learning method, and the last is the DBSCAN, the unsupervised learning method. Among the three, the highest outliers were detected by the IQR method. The outliers are removed, and then the three methods are compared to train the three ML models, i.e., logistic regression, K nearest neighbors, and the Naive Bayes."",2024-02,2025-03-11 22:39:19,2025-03-11 22:39:19,2025-03-11 22:39:18,1-6,,,,,,AI-Powered Data Governance,,,,,,,,,,,,IEEE Xplore,,,,C:\Users\kasutaja\Zotero\storage\XQFKNNW4\Yandrapalli - 2024 - AI-Powered Data Governance A Cutting-Edge Method .pdf"; C:\Users\kasutaja\Zotero\storage\SL5FNN4Y\10493601.html,,,Machine learning; fraud; Supervised learning; Machine learning algorithms; Statistical analysis; Training; Banking; credit card; Data integrity; DBSCAN; IQR; KNN; logistic regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 Second International Conference on Emerging Trends in Information Technology and Engineering (ICETITE),,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;
"DFVIN3SI,conferencePaper,2023.0,""Du, Zhihong"; Xu, Duo; Huang, Danruo; Hu, Yuren; He, Keqing; Wang, Chong; Wang, Jian; Zhang, Hong-Yu; Mayer, Wolfgang; Duan, Yucong; Wang, Ying;" Feng, Zaiwen"",An Ontology-based Method for Heterogeneous Data Governance with MFI and MDR,""2023 IEEE International Conference on High Performance Computing & Communications, Data Science & Systems, Smart City & Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)"",,,10.1109/HPCC-DSS-SmartCity-DependSys60770.2023.00158,https://ieeexplore.ieee.org/document/10466986,""Currently, data governance and integration in the fields are hindered by semantic ambiguity and syntactic inconsistencies among different sub domain data and models, making it difficult to use these valuable data for further application and research jointly. Therefore, it is necessary to unify and integrate existing metadata and meta-models more effectively for information resource sharing and interoperability in the field. This paper proposes an ontology-based approach with a hybrid ISO/IEC 11179 (MDR) and ISO/IEC 19763 (MFI) framework for data governance and integration. This framework takes a Global Ontology Model (GOM) constructed for the global domain as a bridge and basis for integrating and aligning heterogeneous sub domains. It extends MDR by adding ontology registration items to implement the mapping between the GOM and multiple subdomains, thereby promoting the semantic sharing of metadata between subdomains. In addition, the MFI-12 and MFI-10 are used to solve the model interoperability between different subdomains. A detailed case study is provided to illustrate the concrete registration process and demonstrate the validity of our method."",2023-12,2025-03-11 22:45:36,2025-03-11 22:45:36,2025-03-11 22:45:36,1106-1113,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,C:\Users\kasutaja\Zotero\storage\WNJVQJGL\Du et al. - 2023 - An Ontology-based Method for Heterogeneous Data Go.pdf"; C:\Users\kasutaja\Zotero\storage\6MBBVSU4\10466986.html,,,Ontologies; Syntactics; Semantics; Data Governance; Data Standardization; Information resources; ISO Standards; MDR; Metadata; MFI; Ontology;" Standardization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""2023 IEEE International Conference on High Performance Computing & Communications, Data Science & Systems, Smart City & Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)"",,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";
"SLTIIADQ,conferencePaper,2019.0,""Tang, Mingjie"; Shao, Saisai; Yang, Weiqing; Liang, Yanbo; Yu, Yongyang; Saha, Bikas;" Hyun, Dongjoon"",SAC: A System for Big Data Lineage Tracking,2019 IEEE 35th International Conference on Data Engineering (ICDE),,,10.1109/ICDE.2019.00215,https://ieeexplore.ieee.org/document/8731450,""In the era of big data, a data processing flow contains various types of tasks. It is nontrivial to discover the data flow/movement from its source to destination, such that monitoring different transformations and hops on its way in an enterprise environment. Therefore, data lineage or provenance is useful to learn how the data gets transformed along the way, how the representation and parameters change, and how the data splits or converges after each hop. However, existing systems offer limited support for such use cases in a distributed computing setup. To address this issue, we build Spark-Atlas-Connector (short as SAC), a new system to track data lineage in a distributed computation platform, e.g., Spark. SAC tracks different processes involved in the data flow and their dependencies, supporting different data storage (e.g., HBase, HDFS, and Hive) and data processing paradigms (e.g., SQL, ETL, machine learning, and streaming). SAC provides a visual representation of data lineage to track data from its origin to downstreams, and is deployed in a distributed production environment for demonstrating its efficiency and scalability."",2019-04,2025-03-11 22:58:12,2025-03-11 22:58:12,2025-03-11 22:58:12,1964-1967,,,,,,SAC,,,,,,,,,,,,IEEE Xplore,,ISSN: 2375-026X,,C:\Users\kasutaja\Zotero\storage\BKX5L3V2\Tang et al. - 2019 - SAC A System for Big Data Lineage Tracking.pdf"; C:\Users\kasutaja\Zotero\storage\8AQ2UPH3\8731450.html,,,Machine learning; Memory; data lineage; Metadata; big data; Data processing; data provenance; Pipelines; Sparks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 IEEE 35th International Conference on Data Engineering (ICDE),,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;
"6R23YTMS,conferencePaper,2024.0,""Wan, Rui"; Sun, Xiaohan; Zhang, Jiaqi;" Liang, Yan"",Design of Data lineage Analysis Framework Based on Multivariate Attribute Fusion,""2024 IEEE 4th International Conference on Information Technology, Big Data and Artificial Intelligence (ICIBA)"",,,10.1109/ICIBA62489.2024.10868210,https://ieeexplore.ieee.org/document/10868210,""With the advent of the digital age, it has become a consensus that data is an important asset, and it has become a common means to use data platform to manage and analyze data. However, in the process of enterprise data modeling or application, there are often a large number of chain reference relationships (data lineage) between data, which play an important role in data mining. How to construct more abundant data lineage and effectively carry out data lineage analysis has become one of the main challenges in data application and analysis. Therefore, this paper proposes a framework design of data lineage analysis framework based on multivariate attribute fusion. By supplementing the scope of data lineage, three-layer data lineage graphs are constructed to express different levels relationship, and various graph analysis algorithms are used to predict data lineage and reason to complete data lineage graphs, which can effectively support richer and more accurate data consanguinity applications."",2024-12,2025-03-11 23:01:18,2025-03-11 23:01:18,2025-03-11 23:01:18,1182-1185,,,4.0,,,,,,,,,,,,,,,IEEE Xplore,,,,C:\Users\kasutaja\Zotero\storage\XKJGLKXX\Wan et al. - 2024 - Design of Data lineage Analysis Framework Based on.pdf"; C:\Users\kasutaja\Zotero\storage\BXDZVUS5\10868210.html,,,Data models; Cognition; Data mining; Data integrity; Data Governance; Big Data applications; Blood; Data consanguinity; Data Lineage; Heating systems; Information age; Inspection;" Prediction algorithms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""2024 IEEE 4th International Conference on Information Technology, Big Data and Artificial Intelligence (ICIBA)"",,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;
"KMIX7Z9I,journalArticle,2025.0,""Kioroglou, Dimitrios"",Omilayers: a Python package for efficient data management to support multi-omic analysis,BMC Bioinformatics,,1471-2105,10.1186/s12859-025-06067-7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11800426/,""Multi-omic integration involves the management of diverse omic datasets. Conducting an effective analysis of these datasets necessitates a data management system that meets a specific set of requirements, such as rapid storage and retrieval of data with varying numbers of features and mixed data-types, ensurance of reliable and secure database transactions, extension of stored data row and column-wise and facilitation of data distribution. SQLite and DuckDB are embedded databases that fulfil these requirements. However, they utilize the structured query language (SQL) that hinders their implementation by the uninitiated user, and complicates their use in repetitive tasks due to the necessity of writing SQL queries. This study offers Omilayers, a Python package that encapsulates these two databases and exposes a subset of their functionality that is geared towards frequent and repetitive analytical procedures. Synthetic data were used to demonstrate the use of Omilayers and compare the performance of SQLite and DuckDB."",2025-02-06,2025-03-11 23:10:15,2025-03-11 23:10:15,2025-03-11 23:10:15,40,,,26.0,,BMC Bioinformatics,Omilayers,,,,,,,,,,,,PubMed Central,,PMID: 39915756 PMCID: PMC11800426,,C:\Users\kasutaja\Zotero\storage\TW5TFUGS\Kioroglou - 2025 - Omilayers a Python package for efficient data man.pdf"; ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11800426/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;;;;;;;;;;
"HSKI9YEJ,conferencePaper,2023.0,""Li, Yongle"; Sheng, Shuang; Huang, Peizhuo; Guo, Xueliang;" Wang, Zhe"",An Intelligent Detection and Alarm System for Full-Link Abnormal Data Based on Big Data Lineage,2023 3rd International Conference on Mobile Networks and Wireless Communications (ICMNWC),,,10.1109/ICMNWC60182.2023.10435908,https://ieeexplore.ieee.org/document/10435908,""According to the intelligent requirements of big data center in data application and operation and business maintenance, on the basis of collection for big data lineage and building the detection mode of full-link abnormal data, the design idea and framework of an intelligent detection and alarm system for full-link abnormal data based on big data lineage are put forward. In this paper, we take the node anomaly alarm as an example and provide a detailed early warning solution, and describe the specific design method in the intelligent baseline monitoring, early warning simulation calculation, attribution analysis, finally give the design framework of the intelligent detection and alarm system."",2023-12,2025-03-11 23:17:22,2025-03-11 23:17:22,2025-03-11 23:17:22,1-9,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,C:\Users\kasutaja\Zotero\storage\UV55GQAA\Li et al. - 2023 - An Intelligent Detection and Alarm System for Full.pdf"; C:\Users\kasutaja\Zotero\storage\6ESV7BCV\10435908.html,,,Data models; Monitoring; data lineage; big data; Alarm systems; Business; link anomalies identification; link anomalies warning; Maintenance engineering; Power grids; Wireless communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023 3rd International Conference on Mobile Networks and Wireless Communications (ICMNWC),,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;
"S3DGJ665,conferencePaper,2025.0,""Shen, Tiesunlong"; Wang, Jin; Zhang, Xuejie;" Cambria, Erik"",Reasoning with Trees: Faithful Question Answering over Knowledge Graph,Proceedings of the 31st International Conference on Computational Linguistics,,,,https://aclanthology.org/2025.coling-main.211/,""Recent advancements in large language models (LLMs) have shown remarkable progress in reasoning capabilities, yet they still face challenges in complex, multi-step reasoning tasks. This study introduces Reasoning with Trees (RwT), a novel framework that synergistically integrates LLMs with knowledge graphs (KGs) to enhance reasoning performance and interpretability. RwT reformulates knowledge graph question answering (KGQA) as a discrete decision-making problem, leveraging Monte Carlo Tree Search (MCTS) to iteratively refine reasoning paths. This approach mirrors human-like reasoning by dynamically integrating the LLM`s internal knowledge with external KG information. We propose a real-data guided iteration technique to train an evaluation model that assesses action values, improving the efficiency of the MCTS process. Experimental results on two benchmark KGQA datasets demonstrate that RwT significantly outperforms existing state-of-the-art methods, with an average performance improvement of 9.81%. Notably, RwT achieves these improvements without requiring complete retraining of the LLM, offering a more efficient and adaptable approach to enhancing LLM reasoning capabilities."",2025-01,2025-03-12 09:34:14,2025-03-12 09:34:14,2025-03-12 09:34:14,3138–3157,,,,,,Reasoning with Trees,,,,,Association for Computational Linguistics,""Abu Dhabi, UAE"",,,,,,ACLWeb,,,,C:\Users\kasutaja\Zotero\storage\JT9RBAWW\Shen et al. - 2025 - Reasoning with Trees Faithful Question Answering .pdf,,,,""Rambow, Owen"; Wanner, Leo; Apidianaki, Marianna; Al-Khalifa, Hend; Eugenio, Barbara Di;" Schockaert, Steven"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLING 2025,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;;;
"U2IH6ZE5,webpage,,,(PDF) Data Quality Problems in TPC-DI Based Data Integration Processes,ResearchGate,,,,https://www.researchgate.net/publication/327698419_Data_Quality_Problems_in_TPC-DI_Based_Data_Integration_Processes,""PDF | On Jul 19, 2018, Qishan Yang and others published Data Quality Problems in TPC-DI Based Data Integration Processes | Find, read and cite all the research you need on ResearchGate"",,2025-03-12 10:42:12,2025-03-12 10:42:12,2025-03-12 10:42:12,,,,,,,,,,,,,,en,,,,,,,,,C:\Users\kasutaja\Zotero\storage\I3CIZIED\327698419_Data_Quality_Problems_in_TPC-DI_Based_Data_Integration_Processes.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;;;;;;;;;;;
